"Time (EpSec)","Range (km)"
10258.756,1791.995449
10268.000,1734.412668
10278.000,1672.714219
10288.000,1611.707127
10298.000,1551.480287
10308.000,1492.135443
10318.000,1433.789288
10328.000,1376.575890
10338.000,1320.649428
10348.000,1266.187259
10358.000,1213.393225
10368.000,1162.501087
10378.000,1113.777841
10388.000,1067.526504
10398.000,1024.087762
10408.000,983.839614
10418.000,947.193866
10428.000,914.588210
10438.000,886.472631
10448.000,863.289476
10458.000,845.447545
10468.000,833.292315
10478.000,827.076200
10488.000,826.934124
10498.000,832.869478
10508.000,844.753794
10518.000,862.340127
10528.000,885.287099
10538.000,913.188488
10548.000,945.603126
10558.000,982.081022
10568.000,1022.183656
10578.000,1065.497839
10588.000,1111.643898
10598.000,1160.279369
10608.000,1211.099479
10618.000,1263.835579
10628.000,1318.252395
10638.000,1374.144733
10648.000,1431.334045
10658.000,1489.665106
10668.000,1549.002948
10678.000,1609.230095
10688.000,1670.244128
10698.000,1731.955573
10704.898,1774.890960
45238.080,1785.835267
45248.000,1777.455848
45258.000,1771.784837
45268.000,1768.928335
45278.000,1768.900746
45288.000,1771.702650
45298.000,1777.320790
45308.000,1785.728393
45310.666,1788.436401
51023.950,1774.383670
51033.000,1722.054700
51043.000,1665.118151
51053.000,1609.209360
51063.000,1554.445218
51073.000,1500.956865
51083.000,1448.891277
51093.000,1398.412872
51103.000,1349.705024
51113.000,1302.971364
51123.000,1258.436651
51133.000,1216.346953
51143.000,1176.968805
51153.000,1140.586937
51163.000,1107.500142
51173.000,1078.014925
51183.000,1052.436622
51193.000,1031.058172
51203.000,1014.146829
51213.000,1001.929902
51223.000,994.580937
51233.000,992.208095
51243.000,994.846427
51253.000,1002.455235
51263.000,1014.921106
51273.000,1032.065915
51283.000,1053.658662
51293.000,1079.429385
51303.000,1109.083407
51313.000,1142.314484
51323.000,1178.815953
51333.000,1218.289357
51343.000,1260.450729
51353.000,1305.034528
51363.000,1351.795815
51373.000,1400.511017
51383.000,1450.977682
51393.000,1503.013566
51403.000,1556.455315
51413.000,1611.156935
51423.000,1666.988179
51433.000,1723.832965
51443.000,1781.587854
51444.597,1790.887477
95115.857,1791.258438
95125.000,1736.114931
95135.000,1676.501194
95145.000,1617.704296
95155.000,1559.823908
95165.000,1502.973136
95175.000,1447.280435
95185.000,1392.891734
95195.000,1339.972707
95205.000,1288.711151
95215.000,1239.319316
95225.000,1192.036005
95235.000,1147.128117
95245.000,1104.891210
95255.000,1065.648504
95265.000,1029.747612
95275.000,997.554252
95285.000,969.442304
95295.000,945.779730
95305.000,926.910791
95315.000,913.135591
95325.000,904.689144
95335.000,901.722898
95345.000,904.291882
95355.000,912.349799
95365.000,925.753191
95375.000,944.273736
95385.000,967.616372
95395.000,995.440125
95405.000,1027.378716
95415.000,1063.058599
95425.000,1102.113345
95435.000,1144.193926
95445.000,1188.975279
95455.000,1236.159794
95465.000,1285.478464
95475.000,1336.690439
95485.000,1389.581539
95495.000,1443.962199
95505.000,1499.665141
95515.000,1556.543010
95525.000,1614.466083
95535.000,1673.320142
95545.000,1733.004539
95551.840,1774.261346
135860.024,1774.537837
135870.000,1712.210385
135880.000,1650.345491
135890.000,1589.171863
135900.000,1528.779469
135910.000,1469.271537
135920.000,1410.766782
135930.000,1353.401972
135940.000,1297.334857
135950.000,1242.747457
135960.000,1189.849630
135970.000,1138.882798
135980.000,1090.123566
135990.000,1043.886775
136000.000,1000.527318
136010.000,960.439728
136020.000,924.054270
136030.000,891.828055
136040.000,864.229844
136050.000,841.717759
136060.000,824.710561
136070.000,813.555051
136080.000,808.494295
136090.000,809.642704
136100.000,816.973520
136110.000,830.321771
136120.000,849.401946
136130.000,873.836203
136140.000,903.187113
136150.000,936.989272
136160.000,974.775800
136170.000,1016.097977
136180.000,1060.537946
136190.000,1107.715569
136200.000,1157.290861
136210.000,1208.963438
136220.000,1262.470132
136230.000,1317.581661
136240.000,1374.098927
136250.000,1431.849324
136260.000,1490.683258
136270.000,1550.470994
136280.000,1611.099853
136290.000,1672.471781
136300.000,1734.501243
136309.160,1791.834345
180001.640,1789.579669
