"Time (EpSec),""Range (km)"""
4337.058,2388.791617
4357.000,2341.917640
4377.000,2301.972502
4397.000,2269.499638
4417.000,2244.844830
4437.000,2228.285621
4457.000,2220.017705
4477.000,2220.144543
4497.000,2228.671881
4517.000,2245.507513
4537.000,2270.466569
4557.000,2303.281338
4577.000,2343.614834
4591.453,2377.222624
10164.841,2396.838377
10184.000,2271.340731
10204.000,2141.244049
10224.000,2012.316872
10244.000,1884.863403
10264.000,1759.267855
10284.000,1636.021580
10304.000,1515.760435
10324.000,1399.315937
10344.000,1287.784000
10364.000,1182.613408
10384.000,1085.709458
10404.000,999.530336
10424.000,927.116936
10444.000,871.943596
10464.000,837.453443
10484.000,826.258834
10504.000,839.299586
10524.000,875.489937
10544.000,932.124551
10564.000,1005.734763
10584.000,1092.868415
10604.000,1190.527256
10624.000,1296.297752
10644.000,1408.313105
10664.000,1525.154880
10684.000,1645.750083
10704.000,1769.284186
10724.000,1895.133842
10744.000,2022.816925
10764.000,2151.956056
10784.000,2282.252134
10797.323,2369.572390
16372.366,2392.003155
16392.000,2379.524761
16412.000,2374.979642
16432.000,2378.720521
16449.871,2389.038830
45047.782,2378.114312
45067.000,2290.089628
45087.000,2203.426960
45107.000,2122.460339
45127.000,2047.907356
45147.000,1980.531214
45167.000,1921.122537
45187.000,1870.472122
45207.000,1829.334878
45227.000,1798.386438
45247.000,1778.176793
45267.000,1769.086823
45287.000,1771.295397
45307.000,1784.763138
45327.000,1809.236081
45347.000,1844.268748
45367.000,1889.261786
45387.000,1943.507169
45407.000,2006.234151
45427.000,2076.650238
45447.000,2153.974111
45467.000,2237.459329
45487.000,2326.409603
45502.023,2396.432894
50926.835,2368.714621
50946.000,2247.914772
50966.000,2123.332996
50986.000,2000.601527
51006.000,1880.138931
51026.000,1762.465552
51046.000,1648.232538
51066.000,1538.258385
51086.000,1433.573134
51106.000,1335.467826
51126.000,1245.541271
51146.000,1165.726266
51166.000,1098.262411
51186.000,1045.569317
51206.000,1009.979790
51226.000,993.343539
51246.000,996.610975
51266.000,1019.582864
51286.000,1060.964251
51306.000,1118.691176
51326.000,1190.359153
51346.000,1273.583069
51366.000,1366.214828
51386.000,1466.431462
51406.000,1572.739729
51426.000,1683.940128
51446.000,1799.077732
51466.000,1917.393893
51486.000,2038.284404
51506.000,2161.265553
51526.000,2285.947320
51543.451,2395.878352
95019.691,2396.194028
95039.000,2272.083975
95059.000,2144.642940
95079.000,2018.610287
95099.000,1894.331176
95119.000,1772.238231
95139.000,1652.879115
95159.000,1536.953221
95179.000,1425.359668
95199.000,1319.257879
95219.000,1220.138660
95239.000,1129.895330
95259.000,1050.866964
95279.000,985.798790
95299.000,937.638896
95319.000,909.107031
95339.000,902.086595
95359.000,917.080754
95379.000,953.050433
95399.000,1007.742710
95419.000,1078.295537
95439.000,1161.799678
95459.000,1255.645267
95479.000,1357.656525
95499.000,1466.093373
95519.000,1579.593535
95539.000,1697.099481
95559.000,1817.790569
95579.000,1941.027064
95599.000,2066.306470
95619.000,2193.230407
95639.000,2321.479790
95646.321,2368.703669
101083.183,2396.070287
101103.000,2314.586907
101123.000,2238.088741
101143.000,2167.995882
101163.000,2104.978323
101183.000,2049.715205
101203.000,2002.871043
101223.000,1965.066406
101243.000,1936.844651
101263.000,1918.638078
101283.000,1910.737614
101303.000,1913.270845
101323.000,1926.191798
101343.000,1949.284463
101363.000,1982.179540
101383.000,2024.381211
101403.000,2075.299885
101423.000,2134.286166
101443.000,2200.662573
101463.000,2273.750117
101483.000,2352.888883
101489.516,2379.874108
130027.628,2385.026149
130047.000,2340.978420
130067.000,2303.023725
130087.000,2273.108161
130107.000,2251.569953
130127.000,2238.664801
130147.000,2234.552109
130167.000,2239.286106
130187.000,2252.812737
130207.000,2274.972938
130227.000,2305.511594
130247.000,2344.091348
130267.000,2390.309365
130268.617,2394.365931
135767.921,2369.152585
135787.000,2243.931836
135807.000,2113.580583
135827.000,1984.404977
135847.000,1856.712411
135867.000,1730.892632
135887.000,1607.446255
135907.000,1487.024311
135927.000,1370.482775
135947.000,1258.956400
135967.000,1153.954349
135987.000,1057.472621
136007.000,972.097479
136027.000,901.031328
136047.000,847.911331
136067.000,816.270507
136087.000,808.645048
136107.000,825.700386
136127.000,865.968967
136147.000,926.409228
136167.000,1003.355631
136187.000,1093.295835
136207.000,1193.257797
136227.000,1300.892087
136247.000,1414.404038
136267.000,1532.441532
136287.000,1653.987492
136307.000,1778.272651
136327.000,1904.709617
136347.000,2032.844633
136367.000,2162.322709
136387.000,2292.862477
136402.815,2396.690942
179890.848,2395.008336
179910.000,2283.682303
179930.000,2169.792911
179950.000,2058.775687
179970.000,1951.178369
179990.000,1847.654677
180010.000,1748.982686
180030.000,1656.082399
180050.000,1570.028766
180070.000,1492.053945
180090.000,1423.529417
180110.000,1365.917081
180130.000,1320.679541
180150.000,1289.148045
180170.000,1272.363423
180190.000,1270.924800
180210.000,1284.891475
180230.000,1313.773276
180250.000,1356.612523
180270.000,1412.128200
180290.000,1478.876797
180310.000,1555.391423
180330.000,1640.280419
180350.000,1732.283901
180370.000,1830.297004
180390.000,1933.370904
180410.000,2040.701488
180430.000,2151.612377
180450.000,2265.536576
180467.841,2369.315869
185887.287,2396.932564
185907.000,2288.037570
185927.000,2180.880611
185947.000,2077.633662
185967.000,1978.956813
185987.000,1885.613354
186007.000,1798.476828
186027.000,1718.531352
186047.000,1646.860455
186067.000,1584.618975
186087.000,1532.982731
186107.000,1493.073930
186127.000,1465.866382
186147.000,1452.083782
186167.000,1452.111751
186187.000,1465.946509
186207.000,1493.195364
186227.000,1533.128580
186247.000,1584.767612
186267.000,1646.987108
186287.000,1718.609413
186307.000,1798.478835
186327.000,1885.511741
186347.000,1978.724363
186367.000,2077.243744
186387.000,2180.307284
186407.000,2287.255615
186422.929,2374.835152
220634.474,2370.987863
220654.000,2246.991850
220674.000,2121.463039
220694.000,1997.766189
220714.000,1876.324856
220734.000,1757.666974
