"Time (EpSec)","Range (km)"
10321.545,1413.368655
10341.000,1304.148295
10361.000,1197.914407
10381.000,1099.628124
10401.000,1011.660172
10421.000,936.967572
10441.000,878.980277
10461.000,841.190339
10481.000,826.393048
10501.000,835.819254
10521.000,868.678858
10541.000,922.459499
10561.000,993.750599
10581.000,1079.060626
10601.000,1175.308914
10621.000,1279.994034
10641.000,1391.172834
10643.020,1402.699207
51092.176,1402.508542
51112.000,1307.549655
51132.000,1220.438453
51152.000,1144.081859
51172.000,1080.792617
51192.000,1032.999138
51212.000,1002.934925
51232.000,992.219863
51252.000,1001.473375
51272.000,1030.147110
51292.000,1076.672578
51312.000,1138.839194
51332.000,1214.216497
51352.000,1300.474288
51372.000,1395.557503
51375.332,1412.127985
95181.346,1412.601532
95201.000,1309.003866
95221.000,1210.679867
95241.000,1121.445364
95261.000,1043.683844
95281.000,980.173445
95301.000,933.862683
95321.000,907.416523
95341.000,902.600760
95361.000,919.763281
95381.000,957.721702
95401.000,1014.133432
95421.000,1086.109282
95441.000,1170.758328
95461.000,1265.510928
95481.000,1368.236261
95487.351,1402.236432
135921.450,1402.377344
135941.000,1291.806298
135961.000,1184.661775
135981.000,1085.380839
136001.000,996.364483
136021.000,920.636776
136041.000,861.742438
136061.000,823.326763
136081.000,808.329043
136101.000,818.041406
136121.000,851.611299
136141.000,906.374791
136161.000,978.756081
136181.000,1065.138440
136201.000,1162.368364
136221.000,1267.912575
136241.000,1379.821116
136246.800,1413.243580
180094.300,1410.170117
180114.000,1355.834141
180134.000,1313.238232
180154.000,1284.584986
180174.000,1270.838002
180194.000,1272.493747
180214.000,1289.499335
180234.000,1321.261903
180254.000,1366.746371
180267.392,1404.220571
220798.303,1404.031267
220818.000,1308.157404
220838.000,1219.437501
220858.000,1141.477830
220878.000,1076.657258
220898.000,1027.497508
220918.000,996.343271
220938.000,984.919626
220958.000,993.912798
220978.000,1022.781059
220998.000,1069.905158
221018.000,1132.990527
221038.000,1209.517036
221058.000,1297.077366
221078.000,1393.558443
221081.911,1413.309476
270885.365,1413.192722
270905.000,1323.093381
270925.000,1240.657632
270945.000,1169.668805
270965.000,1112.354152
270985.000,1070.937763
271005.000,1047.325704
271025.000,1042.737869
271045.000,1057.422830
271065.000,1090.594974
271085.000,1140.627461
271105.000,1205.400978
271125.000,1282.656814
271145.000,1370.253018
271152.316,1404.497238
305757.915,1408.488049
305777.000,1385.405630
305797.000,1375.193781
305817.000,1379.601720
305837.000,1398.492009
305845.820,1411.289348
311723.045,1405.215130
311743.000,1372.230885
311763.000,1352.911787
311783.000,1347.940539
311803.000,1357.469662
311823.000,1381.187864
311838.652,1409.187736
355713.759,1413.322933
355733.000,1304.411128
355753.000,1197.028318
355773.000,1097.363684
355793.000,1007.762652
355813.000,931.182534
355833.000,871.104943
355853.000,831.148076
355873.000,814.300765
355893.000,821.995507
355913.000,853.568260
355933.000,906.517096
355953.000,977.355171
355973.000,1062.484606
355993.000,1158.728477
356013.000,1263.513704
356033.000,1374.849277
356037.830,1402.540153
396479.162,1402.363116
396499.000,1302.893832
396519.000,1210.668315
396539.000,1128.547742
396559.000,1058.920186
396579.000,1004.414679
396599.000,967.609583
396619.000,950.573637
396639.000,954.367314
396659.000,978.740553
396679.000,1022.206226
396699.000,1082.443428
396719.000,1156.805729
396739.000,1242.725626
396759.000,1337.939800
396773.626,1412.352704
440578.497,1412.403749
440598.000,1312.962526
440618.000,1218.575668
440638.000,1133.830575
440658.000,1061.087141
440678.000,1003.001319
440698.000,962.264942
440718.000,941.158755
440738.000,941.020313
440758.000,961.864949
440778.000,1002.381650
440798.000,1060.306714
440818.000,1132.955088
440838.000,1217.670338
440858.000,1312.088215
440875.733,1402.322550
481315.237,1402.498068
481335.000,1290.967343
481355.000,1184.164664
481375.000,1085.309826
481395.000,996.818038
481415.000,921.720978
481435.000,863.554756
481455.000,825.929400
481475.000,811.720807
481495.000,822.147317
481515.000,856.302245
481535.000,911.505485
481555.000,984.197152
481575.000,1070.790677
481595.000,1168.162700
481615.000,1273.803910
481635.000,1385.781349
481639.780,1413.310414
525507.448,1409.440629
525527.000,1370.403417
525547.000,1343.767511
525567.000,1331.396294
525587.000,1333.699545
525607.000,1350.608356
525627.000,1381.586357
525638.291,1404.951540
531518.754,1410.970900
531538.000,1394.687715
531558.000,1391.850184
531578.000,1403.447402
531583.308,1408.913633
566198.813,1404.386335
566218.000,1315.575215
566238.000,1232.169514
566258.000,1160.155471
566278.000,1101.805134
566298.000,1059.407578
566318.000,1034.946138
566338.000,1029.712001
566358.000,1043.997736
566378.000,1077.021650
566398.000,1127.124923
566418.000,1192.136174
566438.000,1269.741836
566458.000,1357.753293
566469.684,1413.207050
616272.873,1413.289916
616292.000,1320.595541
616312.000,1232.162957
616332.000,1154.418050
616352.000,1089.688378
616372.000,1040.436624
616392.000,1008.954660
616412.000,996.941142
616432.000,1005.099111
616452.000,1032.946501
616472.000,1078.947457
616492.000,1140.888530
616512.000,1216.311036
616532.000,1302.844674
616552.000,1398.392846
616553.151,1404.128358
657091.447,1404.408491
657111.000,1355.235046
657131.000,1317.844907
657151.000,1294.639005
657171.000,1286.388275
657191.000,1293.375386
657211.000,1315.347396
657231.000,1351.557476
657251.000,1400.880208
657254.231,1409.990107
701106.572,1413.260778
701126.000,1302.972718
701146.000,1195.220513
701166.000,1095.109282
701186.000,1004.978716
701206.000,927.790643
701226.000,867.050193
701246.000,826.424818
701266.000,808.973106
701286.000,816.194114
701306.000,847.457591
701326.000,900.252471
701346.000,971.054970
701366.000,1056.224718
701386.000,1152.550166
701406.000,1257.434788
701426.000,1368.873506
701431.838,1402.411001
741867.251,1402.280660
741887.000,1299.570044
741907.000,1203.020261
741927.000,1115.972293
741947.000,1040.850534
741967.000,980.431210
741987.000,937.583960
742007.000,914.795055
742027.000,913.570923
742047.000,933.990877
742067.000,974.681244
742087.000,1033.227916
742107.000,1106.772330
742127.000,1192.509061
742147.000,1287.967461
742167.000,1391.106057
742171.004,1412.527083
785976.526,1412.188907
785996.000,1316.974705
786016.000,1227.378602
786036.000,1148.056189
786056.000,1081.315303
786076.000,1029.643735
786096.000,995.421697
786116.000,980.500263
786136.000,985.769413
786156.000,1010.917627
786176.000,1054.519208
786196.000,1114.398220
786216.000,1188.077345
786236.000,1273.138537
786256.000,1367.430270
786263.040,1402.471024
826709.822,1402.649360
826729.000,1295.084573
826749.000,1188.998786
826769.000,1090.973523
826789.000,1003.421731
826809.000,929.350223
826829.000,872.234563
826849.000,835.584255
826869.000,822.155430
826889.000,833.075429
826909.000,867.418248
826929.000,922.555611
826949.000,995.012604
826969.000,1081.282697
826989.000,1178.300344
827009.000,1283.591368
827029.000,1395.241270
827032.160,1413.360334
870936.423,1408.178693
870956.000,1394.814147
870976.000,1394.968925
870993.150,1406.227797
876881.276,1411.812794
876901.000,1372.055423
876921.000,1345.494509
876941.000,1333.613184
876961.000,1336.805628
876981.000,1354.961317
877001.000,1387.482542
877010.501,1407.689808
911600.554,1404.781677
911620.000,1320.401305
911640.000,1243.606879
911660.000,1178.939401
911680.000,1128.518083
911700.000,1094.339085
911720.000,1077.965734
911740.000,1080.216730
911760.000,1100.978221
911780.000,1139.230997
911800.000,1193.279260
911820.000,1261.072470
911840.000,1340.500159
911856.439,1413.105308
961661.300,1413.351396
961681.000,1313.792076
961701.000,1220.722062
961721.000,1137.736502
961741.000,1067.231329
961761.000,1011.852999
961781.000,974.210842
961801.000,956.418562
961821.000,959.588725
961841.000,983.516986
961861.000,1026.742728
961881.000,1086.947998
961901.000,1161.470691
961921.000,1247.717821
961941.000,1343.398338
961952.859,1403.791599
1002466.719,1403.843851
1002486.000,1343.302745
1002506.000,1292.515609
1002526.000,1255.441437
1002546.000,1233.327175
1002566.000,1226.984678
1002586.000,1236.652241
1002606.000,1261.950847
1002626.000,1301.952139
1002646.000,1355.331814
1002663.141,1410.564089
1046499.984,1413.182173
1046519.000,1305.367084
1046539.000,1197.688657
1046559.000,1097.626050
1046579.000,1007.504969
1046599.000,930.268196
1046619.000,869.398606
1046639.000,828.544843
1046659.000,810.761458
1046679.000,817.567245
1046699.000,848.371577
1046719.000,900.706530
1046739.000,971.079696
1046759.000,1055.865913
1046779.000,1151.856526
1046799.000,1256.451308
1046819.000,1367.639028
1046825.047,1402.312275
1087256.354,1402.223068
1087276.000,1297.058122
1087296.000,1196.963493
1087316.000,1105.841773
1087336.000,1026.126672
1087356.000,960.695856
1087376.000,912.652857
1087396.000,884.851265
1087416.000,879.220154
1087436.000,896.174290
1087456.000,934.472631
1087476.000,991.624421
1087496.000,1064.569922
1087516.000,1150.275107
1087536.000,1246.072178
1087556.000,1349.772742
1087567.575,1412.703142
1131375.562,1411.932625
1131395.000,1321.755211
1131415.000,1237.827363
1131435.000,1164.853901
1131455.000,1105.048474
1131475.000,1060.675736
1131495.000,1033.752157
1131515.000,1025.671730
1131535.000,1036.885306
1131555.000,1066.786386
1131575.000,1113.864769
1131595.000,1176.046052
1131615.000,1251.060713
1131635.000,1336.725057
1131649.139,1402.642265
1172105.215,1402.830940
1172125.000,1293.265885
1172145.000,1188.977529
1172165.000,1093.098156
1172185.000,1008.077077
1172205.000,936.916120
1172225.000,883.006015
1172245.000,849.660907
1172265.000,839.348973
1172285.000,852.908890
1172305.000,889.241843
1172325.000,945.710288
1172345.000,1018.948013
1172365.000,1105.597228
1172385.000,1202.727488
1172405.000,1307.966609
1172423.934,1413.392955
1222256.297,1412.284963
1222276.000,1358.215531
1222296.000,1316.317217
1222316.000,1288.789475
1222336.000,1276.572504
1222356.000,1280.107882
1222376.000,1299.263056
1222396.000,1333.354369
1222416.000,1381.259499
1222424.970,1406.867956
1257003.725,1405.245022
1257023.000,1328.049540
1257043.000,1258.665724
1257063.000,1202.093155
1257083.000,1160.236038
1257103.000,1134.745217
1257123.000,1126.745426
1257143.000,1136.611274
1257163.000,1163.885888
1257183.000,1207.379954
1257203.000,1265.405354
1257223.000,1336.047448
1257241.971,1412.975169
1307050.541,1413.389667
1307070.000,1311.534688
1307090.000,1214.223618
1307110.000,1126.359210
1307130.000,1050.358907
1307150.000,988.999317
1307170.000,945.166077
1307190.000,921.384791
1307210.000,919.224137
1307230.000,938.834551
1307250.000,978.900399
1307270.000,1037.037142
1307290.000,1110.386629
1307310.000,1196.124226
1307330.000,1291.751550
1307350.000,1395.198589
1307351.546,1403.468711
1347845.739,1403.407989
1347865.000,1333.414403
1347885.000,1271.918070
1347905.000,1223.531414
1347925.000,1189.870208
1347945.000,1172.211907
1347965.000,1171.281223
1347985.000,1187.110914
1348005.000,1219.034630
1348025.000,1265.815379
1348045.000,1325.855942
1348065.000,1397.417765
1348068.506,1411.021243
1391894.006,1413.086524
1391914.000,1300.602861
1391934.000,1194.114771
1391954.000,1095.473172
1391974.000,1007.040059
1391994.000,931.775066
1392014.000,873.131732
1392034.000,834.653789
1392054.000,819.210121
1392074.000,828.101877
1392094.000,860.575631
1392114.000,914.112393
1392134.000,985.267039
1392154.000,1070.507756
1392174.000,1166.721134
1392194.000,1271.383879
1392214.000,1382.540104
1392217.448,1402.244407
1432646.396,1402.200821
1432666.000,1294.920925
1432686.000,1192.044999
1432706.000,1097.708849
1432726.000,1014.340778
1432746.000,944.885028
1432766.000,892.623895
1432786.000,860.714649
1432806.000,851.457699
1432826.000,865.578835
1432846.000,901.969673
1432866.000,958.076274
1432886.000,1030.656991
1432906.000,1116.470830
1432926.000,1212.674373
1432946.000,1316.951551
1432963.409,1412.869417
1476775.781,1411.639284
1476795.000,1328.131135
1476815.000,1250.762181
1476835.000,1185.038415
1476855.000,1133.025977
1476875.000,1096.708479
1476895.000,1077.697352
1476915.000,1076.924893
1476935.000,1094.436895
1476955.000,1129.382275
1476975.000,1180.205278
1476995.000,1244.948066
1477015.000,1321.545844
1477033.855,1402.851241
1517501.433,1403.042818
1517521.000,1296.519466
1517541.000,1194.396970
1517561.000,1101.044686
1517581.000,1018.922105
1517601.000,950.982899
1517621.000,900.475305
1517641.000,870.461901
1517661.000,863.095932
1517681.000,878.949073
1517701.000,916.809785
